Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),preparation,micronutrient_density,clusters
0.2,0.064,0.3,0.0,7.2,cardoon raw,0.4,30.0,0.0,2.8,0.2,1.2,raw,61.48148148148148,0
0.1,0.067,0.04,0.0,2.3,bamboo shoots cooked,0.083,14.0,0.0,1.2,0.3,1.8,cooked,123.73015873015873,0
0.6,0.1,0.051,0.009,8.7,summer squash raw,0.1,42.0,5.7,2.9,0.5,3.1,raw,62.43551078551079,0
0.3,0.1,0.079,0.048,26.2,sweet potato raw,0.2,112.0,5.4,3.9,0.002,2.0,raw,23.614407814407816,6
42.6,0.027,0.055,23.7,9.3,green tomato,0.9,42.0,7.3,2.0,0.4,2.2,other,145.01526251526252,0
11.4,0.064,0.013,44.5,1.6,beet greens raw,1.0,8.0,0.2,1.4,0.078,0.8,raw,470.5662393162394,0
0.3,0.076,0.05,0.0,9.2,savoy cabbage cooked,0.089,41.0,0.0,4.8,0.2,3.1,cooked,48.36043360433603,0
1.5,0.016,0.022,10.1,2.1,witloof chicory,0.1,9.0,0.0,1.6,0.031,0.5,other,77.76828110161443,0
0.1,0.001,0.017,0.063,7.9,turnips cooked,0.025,34.0,4.7,3.1,0.1,1.1,cooked,1.4848416289592758,0
0.8,0.022,0.069,2.2,1.1,dried tomatoes,0.2,5.0,0.8,0.2,0.053,0.3,other,153.38461538461536,0
5.2,0.039,0.033,12.4,2.9,radicchio,0.4,15.0,0.4,0.6,0.2,0.9,other,124.69230769230768,0
0.1,0.1,0.089,0.083,23.8,mixed vegetables cooked,0.2,118.0,5.7,8.0,0.3,5.2,cooked,22.227632913226135,6
0.1,0.056,0.088,0.0,6.3,yellow tomato,0.2,32.0,0.0,1.5,0.6,2.1,other,47.569444444444436,0
2.0,0.081,0.2,86.4,6.4,cardoon cooked,0.9,26.0,0.0,2.0,0.1,0.9,cooked,131.22452333990796,0
8.4,0.064,0.036,29.7,1.1,spinach raw,0.8,7.0,0.1,0.7,0.1,0.9,raw,458.0341880341881,0
19.6,0.048,0.045,53.3,0.9,kale raw,0.3,7.0,0.2,0.9,0.3,0.6,raw,564.9206349206349,0
114.5,0.039,0.3,23.6,9.7,drumstick pods cooked,0.5,42.0,0.0,5.0,0.2,2.5,cooked,272.24562474562475,0
0.4,0.1,0.063,0.069,16.4,kohlrabi raw,0.3,72.0,6.9,9.5,0.3,4.5,raw,37.66169278252611,6
12.7,0.046,0.044,19.3,17.0,lentil sprouts,2.5,82.0,0.0,0.0,0.4,6.9,other,49.9812382739212,0
0.084,0.064,0.024,0.028,5.8,carrots raw,0.022,25.0,2.9,1.7,0.1,0.6,raw,64.87083760683761,0
64.7,0.085,0.03,6.3,4.0,red chili peppers,0.5,18.0,2.4,0.7,0.2,0.8,other,535.5626780626781,0
0.1,0.049,0.1,0.1,17.1,fennel,0.2,73.0,0.0,7.3,0.5,2.9,other,18.46563634234867,6
0.074,0.1,0.016,0.084,13.9,sweet corn white,0.049,63.0,2.4,2.0,0.9,2.4,other,40.25540632207299,0
0.3,0.044,0.2,0.081,14.4,celeriac raw,0.1,66.0,2.5,2.8,0.5,2.3,raw,18.02290857290857,0
0.2,0.066,0.094,0.086,10.1,hubbard squash raw,0.033,46.0,4.6,4.5,0.6,2.3,raw,36.765589000371605,0
13.0,0.0,0.051,7.6,1.5,brussels sprouts cooked,0.3,8.0,0.4,0.5,0.1,0.5,cooked,208.69658119658118,0
1.7,0.063,0.025,13.8,3.8,carrots cooked,0.2,16.0,1.6,1.4,0.092,0.3,cooked,123.82211538461539,0
0.0,0.083,0.033,3.3,0.069,lambs quarters raw,0.06,0.0,0.0,0.046,0.067,0.08,raw,21.337179487179487,0
2.4,0.015,0.0,2.3,1.4,lotus root cooked,0.059,6.0,0.0,0.3,0.056,0.1,cooked,115.35612535612533,0
68.6,0.042,0.4,171.6,7.3,scots kale cooked,2.5,36.0,0.0,0.0,0.5,2.5,cooked,316.1419753086419,0
0.1,0.006,0.039,0.055,21.6,corn cooked,0.025,99.0,4.7,2.5,1.5,3.5,cooked,1.771950271950272,6
0.096,0.066,0.033,0.002,0.2,radish raw,0.052,1.0,0.066,0.002,0.026,0.042,raw,1689.57094017094,0
0.0,0.099,0.09,428.1,6.7,stinging nettles,1.5,37.0,0.2,6.1,0.007,2.4,other,178.41649341649338,0
0.4,0.035,0.097,4.8,1.2,baby carrots,0.1,5.0,0.7,0.4,0.053,0.031,other,202.3846153846154,0
341.3,0.064,0.017,20.5,11.8,sweet yellow peppers,0.9,50.0,0.0,1.7,0.4,1.9,other,245.15384615384613,0
14.6,0.041,0.083,30.0,1.9,taro leaves raw,0.6,12.0,0.8,1.0,0.2,1.4,raw,267.6103988603989,0
0.1,0.2,0.083,0.054,26.7,corn raw,0.076,123.0,9.0,2.9,1.9,4.7,raw,41.08738795080259,6
6.8,0.0,0.079,122.6,6.4,roselle,0.8,28.0,0.0,0.0,0.4,0.5,other,76.53846153846153,0
10.9,0.031,0.071,38.9,1.7,drumstick leaves raw,0.8,13.0,0.0,0.4,0.3,2.0,raw,209.9835634451019,0
23.4,0.08,0.075,24.7,5.0,scallop squash raw,0.5,23.0,3.1,1.6,0.3,1.6,raw,220.3381642512077,0
0.2,0.08,0.055,0.0,15.8,chicory roots,0.051,65.0,7.9,1.4,0.2,1.3,other,31.54700854700855,0
16.2,0.018,0.049,8.0,1.7,brussels sprouts raw,0.3,8.0,0.4,0.7,0.077,0.6,raw,309.77564102564105,0
0.069,0.028,0.018,0.5,6.3,kale cooked,0.2,42.0,1.4,4.7,1.4,3.5,cooked,19.586284086284085,0
0.0,0.0,0.4,64.3,39.7,pupusas con frijoles,1.8,289.0,1.6,7.3,11.4,7.0,other,5.171679531541123,1
0.4,0.031,0.9,0.1,7.2,mustard cabbage,0.077,36.0,1.8,4.0,0.1,1.4,other,23.971984805318137,0
0.022,0.035,0.03,0.047,4.1,gourd raw,0.016,19.0,1.9,1.0,0.2,1.1,raw,46.66815114709852,0
30.2,0.022,0.002,82.0,21.0,butternut squash cooked,1.2,80.0,3.9,6.4,0.2,1.8,cooked,65.03739316239316,6
4.3,0.067,0.4,81.3,35.1,burdock root cooked,1.3,146.0,5.9,3.0,0.2,3.5,cooked,23.97523709167545,6
0.2,0.2,0.099,0.011,78.4,cassava,0.2,330.0,3.5,3.7,0.6,2.8,other,15.555811965811966,1
13.0,0.016,0.5,36.8,16.2,peas carrots cooked,1.5,77.0,7.0,5.0,0.7,4.9,cooked,38.45265845265845,6
1.9,0.051,0.083,15.5,1.5,romaine lettuce,0.5,8.0,0.6,1.0,0.1,0.6,other,235.38995726495725,0
0.4,0.2,0.017,0.025,41.8,yam raw,0.3,177.0,0.8,6.2,0.3,2.3,raw,29.442392196629484,6
14.7,0.067,1.3,56.4,65.3,chowchow pickles,3.4,296.0,58.5,3.7,2.2,3.7,other,19.02387964887965,1
0.7,0.051,0.059,16.5,4.5,prairie turnips raw,0.2,20.0,0.1,1.0,0.029,0.3,raw,79.54059829059827,0
0.1,0.003,0.007,0.066,4.3,savoy cabbage raw,0.071,19.0,1.6,2.2,0.017,1.4,raw,6.634907782276205,0
0.007,0.041,0.019,0.086,1.2,celery raw,0.056,6.0,0.5,0.6,0.045,0.3,raw,176.25840455840455,0
5.6,0.091,0.084,40.3,9.1,celeriac cooked,0.7,42.0,0.0,0.0,0.3,1.5,cooked,85.6216931216931,0
195.0,0.2,0.025,315.0,5.9,mustard spinach raw,2.3,33.0,0.0,4.2,0.5,3.3,raw,566.6925666925666,0
0.4,0.1,0.023,0.033,8.1,zucchini raw,0.1,44.0,6.5,2.6,0.8,3.1,raw,59.09667832167832,0
26.1,0.097,0.4,123.2,7.2,okra cooked,0.4,35.0,3.8,4.0,0.3,3.0,cooked,185.56898656898656,0
29.0,0.097,0.049,27.0,2.6,white icicle radish,0.8,14.0,0.0,1.4,0.1,1.1,other,449.9542124542125,0
0.071,0.067,0.001,0.0,3.5,orange tomato,0.079,18.0,0.0,1.0,0.2,1.3,other,95.93209876543212,0
4.3,0.042,0.057,15.2,0.9,pumpkin leaves raw,0.9,7.0,0.0,0.0,0.2,1.2,raw,306.3858363858364,0
5.4,0.099,0.4,32.6,10.0,spaghetti squash cooked,0.5,42.0,3.9,2.2,0.4,1.0,cooked,85.79873829873831,0
0.1,0.099,0.082,0.017,22.4,white corn cooked,0.052,100.0,8.0,2.8,1.5,3.4,cooked,25.15130769230769,6
0.028,0.017,0.087,0.035,14.3,artichoke cooked,0.2,64.0,1.2,10.3,0.4,3.5,cooked,8.429553952991453,6
0.7,0.2,0.045,0.078,23.0,avocado,0.5,432.0,1.8,18.1,39.6,5.4,other,12.398508230452675,1
0.0,0.0,0.0,0.0,1.7,string beans wellsley farms,0.0,8.0,0.3,0.087,0.0,0.3,other,0.0,0
66.6,0.077,0.5,464.4,9.0,lambs quarters cooked,1.3,58.0,1.1,3.8,1.3,5.8,cooked,234.81948128499855,0
0.3,0.4,0.074,0.011,25.0,peas cooked,0.3,134.0,9.5,8.8,0.4,8.6,cooked,76.12003444316878,6
0.026,0.033,0.035,0.099,5.0,beets cooked,0.021,22.0,4.0,1.0,0.085,0.8,cooked,38.196231546231544,0
0.096,0.044,0.059,0.043,0.7,shallots dried,0.082,3.0,0.3,0.1,0.013,0.1,other,385.51766381766373,0
0.1,0.1,0.05,0.2,4.3,green lettuce,0.012,23.0,1.2,2.0,0.2,2.0,other,109.53548866592344,0
0.3,0.013,0.035,0.008,11.0,kohlrabi cooked,0.2,48.0,4.6,1.8,0.2,3.0,cooked,9.781374643874646,0
0.3,0.0,0.056,0.0,35.1,kanpyo dried,0.2,139.0,0.0,5.3,0.3,4.6,other,1.0391686650679455,6
0.3,0.0,0.012,14.4,4.2,prairie turnips boiled,0.1,18.0,0.7,1.0,0.086,0.2,other,11.092117758784426,0
0.2,0.1,0.077,0.2,2.7,broccoli raab cooked,0.06,21.0,0.5,2.4,0.4,3.3,cooked,121.76638176638176,0
0.2,0.1,0.036,0.028,9.9,summer squash cooked,0.3,49.0,6.4,2.9,1.0,2.7,cooked,54.87967905110762,0
0.4,0.1,0.055,0.073,45.7,taro cooked,0.3,187.0,0.6,6.7,0.1,0.7,cooked,14.50092325974679,1
0.055,0.025,0.048,0.006,1.5,spring onion scallions,0.057,6.0,0.5,0.5,0.077,0.4,other,110.47065527065524,0
0.2,0.084,0.5,0.029,12.3,hubbard squash cooked,0.095,57.0,5.6,5.5,0.7,2.8,cooked,38.16180836707153,6
0.079,0.066,0.028,0.011,0.9,jalapeno pepper,0.045,4.0,0.6,0.4,0.002,0.1,other,420.9655982905983,0
28.8,0.038,0.6,86.4,3.8,new zealand spinach cooked,1.2,22.0,0.5,2.5,0.3,2.3,cooked,249.14918414918415,0
